Partlist exported from /Users/superchange/Documents/gits/elasticnodehardware/elasticNode.sch at 2019/3/26 16:11

Part Value               Device              Package             Description SPICEPREFIX
U5   SPARTAN7-LX15       SPARTAN7-LX15       FTGB196                                    
U6   SST26VF032BWDFN     SST26VF032BWDFN     WDFN8                                      
U7   PAC1720             PAC1720             VDFN10                                     
U8   PAC1720             PAC1720             VDFN10                                     
U9   PAC1720             PAC1720             VDFN10                                     
U10  PAC1720             PAC1720             VDFN10                                     
U11  LTC3419DFN          LTC3419DFN          DFN8                                       
U12  LTC3419DFN          LTC3419DFN          DFN8                                       
X1   8MHz                QUARTZ              3.2X2.5_OSC                                
X2   8MHz                QUARTZ              3.2X2.5_OSC                                
X3   100MHz              OSCILLATOR3.2X2.5   3.2X2.5_OSC                                
X4   50MHz               OSCILLATOR3.2X2.5   3.2X2.5_OSC                                
X5   32MHz               OSCILLATOR3.2X2.5   3.2X2.5_OSC                                
