Comment,Designator,Footprint,LCSC Part #
0.1uF,C1 C3 C5 C6,0402,
0R,R13,0402,
1uF,C4 C8,0402,
2.2K,R8,0402,
2.2uF,C7,0402,
10K,R1 R2 R3 R4 R5 R6 R7 R11 R12,0402,
10uF,C2,0805,
100K,R10,0402,
150K,R9,0402,
ADXL345BCCZ-RL,U3,PQFN80P300X500X79-14N,
ESP32-C3-WROOM-02-H4,U1,MODULE_ESP32-C3-WROOM-02-H4,
MAX9814ETD+T,U2,SON40P300X300X80-15N,
